Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.6020408163265306,0.6538461538461539,0.6181818181818182,0.6355140186915887
SVM,0.5714285714285714,0.6444444444444445,0.5272727272727272,0.58
Random Forest,0.6122448979591837,0.6440677966101694,0.6909090909090909,0.6666666666666666
Gradient Boosting,0.5204081632653061,0.5869565217391305,0.4909090909090909,0.5346534653465347
Decision Tree,0.4489795918367347,0.5102040816326531,0.45454545454545453,0.4807692307692308
KNN,0.5510204081632653,0.6774193548387096,0.38181818181818183,0.4883720930232558
MLP,0.5408163265306123,0.5961538461538461,0.5636363636363636,0.5794392523364486
XGBoost,0.5510204081632653,0.5964912280701754,0.6181818181818182,0.6071428571428571
SMOTEBoost,0.5714285714285714,0.6181818181818182,0.6181818181818182,0.6181818181818182
RUSBoost,0.5714285714285714,0.6326530612244898,0.5636363636363636,0.5961538461538461
